X,Y
-1,1
-0.999999,1.00001
-0.999977,1.0001
-0.999892,1.00046
-0.999675,1.00137
-0.999246,1.00318
-0.998517,1.00624
-0.99739,1.01092
-0.995769,1.01757
-0.993553,1.02652
-0.990643,1.03801
-0.986938,1.05226
-0.98234,1.06938
-0.976752,1.08941
-0.970081,1.11232
-0.962244,1.13797
-0.953169,1.16616
-0.942801,1.19661
-0.931104,1.229
-0.918071,1.26292
-0.903717,1.29798
-0.888088,1.33377
-0.871249,1.36987
-0.853278,1.40594
-0.834248,1.4417
-0.814207,1.47695
-0.793158,1.5116
-0.771087,1.54562
-0.747979,1.57894
-0.723824,1.61151
-0.698611,1.64327
-0.672336,1.67415
-0.644996,1.70409
-0.616591,1.73303
-0.587128,1.76089
-0.556617,1.78759
-0.525073,1.81307
-0.492519,1.83725
-0.458984,1.86004
-0.424501,1.88137
-0.389113,1.90116
-0.352871,1.91934
-0.31583,1.93584
-0.278057,1.95058
-0.239624,1.96349
-0.200608,1.97453
-0.161098,1.98364
-0.121184,1.99077
-0.0809621,1.99589
-0.0405334,1.99897
0,2
0.040533,1.99897
0.0809619,1.99589
0.121184,1.99077
0.161098,1.98364
0.200609,1.97453
0.239623,1.96349
0.278057,1.95058
0.31583,1.93584
0.35287,1.91934
0.389113,1.90116
0.424501,1.88137
0.458983,1.86004
0.492519,1.83725
0.525073,1.81307
0.556617,1.78759
0.587128,1.76089
0.616591,1.73303
0.644996,1.70409
0.672336,1.67415
0.698611,1.64327
0.723824,1.61151
0.747979,1.57894
0.771087,1.54562
0.793158,1.5116
0.814207,1.47695
0.834248,1.4417
0.853278,1.40594
0.871249,1.36987
0.888088,1.33377
0.903717,1.29798
0.91807,1.26292
0.931104,1.229
0.942801,1.19661
0.953169,1.16616
0.962244,1.13797
0.970081,1.11232
0.976752,1.08941
0.98234,1.06938
0.986938,1.05226
0.990643,1.03801
0.993553,1.02652
0.995769,1.01757
0.99739,1.01092
0.998517,1.00624
0.999246,1.00318
0.999675,1.00137
0.999892,1.00046
0.999977,1.0001
0.999998,1.00001
1,1
